plan_date,ticker,bucket,trigger_type,driven_by,trigger_price,confidence,sim_entry_price,outcome,pnl_5d,pnl_30d,followed,followed_at,updated_at
2026-05-17,ROBN,cut,price_below,catalyst,18.5,0.75,19.45,loss,-0.0,9.31,false,2026-05-21T23:37:25.396638 (auto),2026-05-30T18:24:12.043174
2026-05-17,00100,trim_on_rebound,price_below,peer,730.0,0.65,794.0,loss,-0.0,5.67,false,2026-05-21T23:37:25.422473 (auto),2026-05-30T18:24:12.043817
2026-05-17,MSFU,hold_and_watch,price_above,catalyst,31.0,0.7,29.24,loss,0.0,-1.47,true,2026-05-21T23:37:25.449517 (auto),2026-05-30T18:24:12.044364
2026-05-17,SOXL,hold_and_watch,manual,technical,,0.65,164.18,loss,0.0,15.98,true,2026-05-21T23:37:25.484926 (auto),2026-05-30T18:24:12.044911
2026-05-17,07226,t_only,index_breakdown,technical,4800.0,0.55,3.87,loss,0.0,-3.05,true,2026-05-21T23:37:25.520764 (auto),2026-05-30T18:24:12.045433
2026-05-18,00100,trim_on_rebound,price_above,peer,800.0,0.65,794.0,win,6.61,3.21,false,2026-05-21T23:37:25.561856 (auto),2026-05-30T18:24:12.045964
2026-05-18,ROBN,cut,price_below,catalyst,17.5,0.7,19.45,win,9.15,9.25,false,2026-05-21T23:37:25.603449 (auto),2026-05-30T18:24:12.046520
2026-05-18,SOXL,add_on_breakout,price_above,,170.0,0.6,164.18,loss,-12.71,16.07,false,2026-05-21T23:37:25.633994 (auto),2026-05-30T18:24:12.047077
2026-05-18,SOXL,add_only_on_trigger,price_above,technical,170.0,0.6,164.18,loss,-12.71,16.07,false,2026-05-21T23:37:25.670650 (auto),2026-05-30T18:24:12.047622
2026-05-19,07226,trim_on_rebound,price_above,peer,3.72,0.75,3.75,loss,-0.05,-3.31,false,2026-05-21T23:37:25.693583 (auto),2026-05-30T18:24:12.048190
2026-05-19,00100,watch,price_above,,820,0.6,741.5,win,0.13,3.71,true,2026-05-21T23:37:25.720470 (auto),2026-05-30T18:24:12.048718
2026-05-19,SOXL,add_only_on_trigger,price_above,technical,158,0.7,143.32,win,5.98,57.53,false,2026-05-21T23:37:25.753450 (auto),2026-05-30T18:24:12.049253
2026-05-19,RKLB,watch,price_above,,135,0.65,119.15,win,6.85,20.54,true,2026-05-21T23:37:25.785979 (auto),2026-05-30T18:24:12.049764
2026-05-19,00100,hold_and_watch,price_above,peer,820,0.6,741.5,win,0.13,3.71,true,2026-05-21T23:37:25.812467 (auto),2026-05-30T18:24:12.050297
2026-05-19,RKLB,hold_and_watch,price_above,catalyst,135,0.65,119.15,win,6.85,20.54,true,2026-05-21T23:37:25.828832 (auto),2026-05-30T18:24:12.050860
2026-05-20,00100,cut,price_above,peer,745,0.82,742.5,win,7.47,-14.28,false,2026-05-22T08:00:49.452743 (auto),2026-05-30T18:24:12.051475
2026-05-20,07226,trim_on_rebound,open,peer,,0.78,3.752,loss,-0.43,-1.33,false,2026-05-22T08:00:49.468408 (auto),2026-05-30T18:24:12.052110
2026-05-20,ROBN,cut,price_below,catalyst,17.5,0.8,17.99,loss,-2.83,-2.67,false,2026-05-22T08:00:49.483190 (auto),2026-05-30T18:24:12.052649
2026-05-20,MSFU,trim_on_rebound,open,catalyst,,0.6,28.61,loss,-1.57,2.1,false,2026-05-22T08:00:49.497136 (auto),2026-05-30T18:24:12.053257
2026-05-20,SOXL,hold_and_watch,price_below,technical,148,0.65,151.89,win,13.77,42.98,false,2026-05-21T23:37:25.844606 (auto),2026-05-30T18:24:12.053787
2026-05-21,ROBN,cut,open,technical,,0.75,18.5,win,4.65,-11.89,false,2026-05-25T08:02:50.448705 (auto),2026-05-30T18:24:12.054395
2026-05-21,MSFU,cut,open,catalyst,,0.78,29.06,win,0.86,-1.96,false,2026-05-25T08:02:50.462784 (auto),2026-05-30T18:24:12.054963
2026-05-21,00100,trim_on_rebound,price_above,peer,730,0.68,687.0,loss,-9.02,-21.83,false,2026-05-25T08:02:50.476010 (auto),2026-05-30T18:24:12.055563
2026-05-21,SOXL,trim_on_rebound,price_above,technical,180,0.72,172.8,loss,-10.19,-25.68,true,2026-05-25T08:02:50.489058 (auto),2026-05-30T18:24:12.056185
2026-05-21,PLTU,trim_on_rebound,price_above,technical,38.5,0.65,37.12,win,0.59,-2.37,false,2026-05-25T08:02:50.502092 (auto),2026-05-30T18:24:12.056726
2026-05-21,07226,hold_and_watch,manual,technical,,0.6,3.768,loss,-0.42,0.32,true,2026-05-22T08:00:49.511590 (auto),2026-05-30T18:24:12.057263
2026-05-22,ROBN,cut,open,technical,,0.78,18.68,win,5.51,-51.23,false,2026-05-25T08:02:50.515052 (auto),2026-05-30T18:24:12.057757
2026-05-22,RKLB,trim_on_rebound,price_above,peer,128,0.65,128,loss,-6.06,-12.09,false,2026-05-25T08:02:50.526614 (auto),2026-05-30T18:24:12.058276
2026-05-22,SOXL,hold_and_watch,price_above,technical,185,0.7,185,win,3.01,17.39,true,2026-05-25T08:02:50.538196 (auto),2026-05-30T18:24:12.058741
2026-05-22,PLTU,t_only,price_above,catalyst,38.5,0.55,38.5,loss,-4.1,23.58,true,2026-05-25T08:02:50.549640 (auto),2026-05-30T18:24:12.059215
2026-05-22,CRCL,add_only_on_trigger,price_above,catalyst,120,0.68,120,loss,-5.73,-5.83,false,2026-05-25T08:02:50.561284 (auto),2026-05-30T18:24:12.059692
2026-05-22,00100,hold_and_watch,manual,catalyst,,0.62,663.0,win,15.91,26.7,true,2026-05-25T08:02:50.572847 (auto),2026-05-30T18:24:12.060220
2026-05-22,07226,hold_and_watch,index_breakdown,technical,4800,0.58,4800,loss,-99.92,-99.92,true,2026-05-25T08:02:50.584585 (auto),2026-05-30T18:24:12.060683
2026-05-25,ROBN,cut,open,peer,,0.78,17.64,loss,-1.81,-60.15,false,2026-05-27T08:00:56.575807 (auto),2026-05-31T13:45:21.918956
2026-05-25,SOXL,trim_on_rebound,price_above,technical,200,0.65,200,loss,-12.89,-8.58,false,2026-05-27T08:00:56.587258 (auto),2026-05-31T13:45:21.918980
2026-05-25,00100,hold_and_watch,manual,catalyst,,0.6,749.0,win,2.67,12.15,true,2026-05-26T08:03:58.933678 (auto),2026-05-31T13:45:21.918988
2026-05-25,07226,hold_and_watch,index_breakdown,technical,4800,0.55,4800,loss,-99.92,-99.92,true,2026-05-26T08:03:58.944389 (auto),2026-05-31T13:45:21.918994
2026-05-25,RKLB,hold_and_watch,price_below,catalyst,120,0.68,120,win,19.69,19.57,true,2026-05-26T08:03:58.955349 (auto),2026-05-31T13:45:21.919000
2026-05-25,PLTU,t_only,price_above,technical,38.5,0.5,38.5,loss,-6.65,23.61,true,2026-05-26T08:03:58.965947 (auto),2026-05-31T13:45:21.919006
2026-05-25,CRCL,add_only_on_trigger,price_above,catalyst,120,0.62,120,loss,-10.68,-5.83,false,2026-05-27T08:00:56.598116 (auto),2026-05-31T13:45:21.919011
2026-05-25,MSFU,hold_and_watch,price_below,technical,26,0.65,26,win,10.19,27.27,true,2026-05-26T08:03:58.976743 (auto),2026-05-31T13:45:21.919017
2026-05-26,ROBN,cut,open,technical,,0.75,17.65,loss,-4.65,-60.06,false,2026-05-28T01:28:52.382916 (auto),2026-06-01T08:01:02.359177
2026-05-26,07226,trim_on_rebound,price_above,technical,3.85,0.7,3.85,win,1.25,2.34,false,2026-05-28T01:28:52.394585 (auto),2026-06-01T08:01:02.359198
2026-05-26,SOXL,trim_on_rebound,open,technical,,0.65,190.56,loss,-13.96,-13.96,true,2026-05-28T01:28:52.406505 (auto),2026-06-01T08:01:02.359208
2026-05-26,00100,hold_and_watch,price_below,technical,700,0.6,700,win,21.21,20.0,true,2026-05-27T08:00:56.609032 (auto),2026-06-01T08:01:02.359214
2026-05-26,RKLB,hold_and_watch,price_below,catalyst,120,0.68,120,win,18.81,19.57,true,2026-05-27T08:00:56.619038 (auto),2026-06-01T08:01:02.359220
2026-05-26,CRCL,add_only_on_trigger,price_above,catalyst,120,0.62,120,loss,-12.99,-5.83,false,2026-05-28T01:28:52.419049 (auto),2026-06-01T08:01:02.359225
2026-05-26,PLTU,t_only,price_above,technical,37.5,0.5,37.5,loss,-5.92,26.91,true,2026-05-27T08:00:56.628946 (auto),2026-06-01T08:01:02.359231
2026-05-26,MSFU,hold_and_watch,price_below,technical,26,0.65,26,win,7.73,27.27,true,2026-05-27T08:00:56.639496 (auto),2026-06-01T08:01:02.359237
2026-05-26,02208,hold_and_watch,manual,technical,,0.6,14.59,loss,-4.59,-6.03,true,2026-05-27T08:00:56.649435 (auto),2026-06-01T08:01:02.359244
2026-05-26,03032,hold_and_watch,manual,technical,,0.55,4.846,win,0.83,0.58,true,2026-05-27T08:00:56.659491 (auto),2026-06-01T08:01:02.359249
2026-05-26,03033,hold_and_watch,manual,technical,,0.55,4.756,win,0.93,0.59,true,2026-05-27T08:00:56.669558 (auto),2026-06-01T08:01:02.359254
2026-05-27,ROBN,cut,open,technical,,0.75,17.87,loss,-15.84,-46.05,false,2026-05-29T08:02:30.007341 (auto),2026-06-02T08:01:08.822481
2026-05-27,PLTU,cut,open,technical,,0.72,36.74,loss,-3.43,-36.23,false,2026-05-29T08:02:30.021902 (auto),2026-06-02T08:01:08.822501
2026-05-27,07226,trim_on_rebound,price_above,technical,4.1,0.62,4.1,win,7.8,4.88,false,2026-05-29T08:02:30.035554 (auto),2026-06-02T08:01:08.822512
2026-05-27,SOXL,trim_on_rebound,price_above,macro,250,0.65,250,win,13.13,13.13,true,2026-05-29T08:02:30.049366 (auto),2026-06-02T08:01:08.822519
2026-05-27,00100,hold_and_watch,price_below,catalyst,700,0.55,700,win,19.57,1.14,true,2026-05-28T01:28:52.430327 (auto),2026-06-02T08:01:08.822524
2026-05-27,RKLB,hold_and_watch,price_below,catalyst,120,0.7,120,win,22.13,1.81,true,2026-05-28T01:28:52.441139 (auto),2026-06-02T08:01:08.822529
2026-05-27,CRCL,add_only_on_trigger,price_below,catalyst,95,0.5,95,win,11.64,10.18,false,2026-05-29T08:02:30.062766 (auto),2026-06-02T08:01:08.822534
2026-05-27,MSFU,hold_and_watch,price_below,catalyst,26,0.65,26,win,13.96,33.42,true,2026-05-28T01:28:52.451682 (auto),2026-06-02T08:01:08.822539
2026-05-28,ROBN,cut,open,technical,,0.55,18.88,loss,-49.63,-30.14,false,2026-05-30T15:12:44.013563 (auto),2026-06-03T08:00:36.017161
2026-05-28,PLTU,cut,open,catalyst,,0.55,34.68,loss,-37.2,-29.07,false,2026-05-30T15:12:44.045060 (auto),2026-06-03T08:00:36.017183
2026-05-28,07226,trim_on_rebound,price_above,technical,4.0,0.6,4.0,win,6.0,-6.7,false,2026-05-30T15:12:44.071222 (auto),2026-06-03T08:00:36.017194
2026-05-28,00100,hold_and_watch,price_below,catalyst,750,0.7,750,win,12.0,-11.0,true,2026-05-29T08:02:30.076507 (auto),2026-06-03T08:00:36.017201
2026-05-28,RKLB,hold_and_watch,price_below,catalyst,130,0.75,130,win,10.37,-5.14,true,2026-05-29T08:02:30.089013 (auto),2026-06-03T08:00:36.017207
2026-05-28,CRCL,add_only_on_trigger,price_below,catalyst,95,0.5,95,win,18.95,6.16,false,2026-05-30T15:12:44.092887 (auto),2026-06-03T08:00:36.017213
2026-05-28,MSFU,hold_and_watch,price_below,catalyst,26,0.65,26,win,27.61,22.27,true,2026-05-29T08:02:30.101405 (auto),2026-06-03T08:00:36.017218
2026-05-29,00100,hold_and_watch,price_below,catalyst,780,0.65,780,win,7.69,,true,2026-05-30T18:17:37.400133 (auto),2026-05-31T13:45:21.919057
2026-05-29,07226,trim_on_rebound,price_above,technical,4.0,0.6,4.0,win,6.0,,false,2026-05-31T13:45:21.854699 (auto),2026-05-31T13:45:21.919064
2026-05-29,PLTU,cut,open,catalyst,,0.7,34.58,loss,-37.62,,false,2026-05-31T13:45:21.873810 (auto),2026-05-31T13:45:21.919070
2026-05-29,ROBN,cut,open,technical,,0.65,23.1,loss,-22.29,,false,2026-05-31T13:45:21.894495 (auto),2026-05-31T13:45:21.919076
2026-05-29,RKLB,hold_and_watch,price_below,catalyst,130,0.75,130,win,10.37,,true,2026-05-30T18:17:37.421286 (auto),2026-05-31T13:45:21.919081
2026-05-29,CRCL,add_only_on_trigger,price_below,catalyst,95,0.5,95,win,18.95,,false,2026-05-31T13:45:21.916292 (auto),2026-05-31T13:45:21.919086
2026-05-29,MSFU,hold_and_watch,price_below,catalyst,26,0.6,26,win,27.27,,true,2026-05-30T18:17:37.449738 (auto),2026-05-31T13:45:21.919091
2026-05-29,02208,hold_and_watch,price_below,catalyst,12.5,0.7,12.5,win,9.68,,true,2026-05-30T18:17:37.474486 (auto),2026-05-31T13:45:21.919096
2026-05-31,PLTU,cut,open,technical,,0.5,47.59,loss,-0.0,,false,2026-06-02T08:01:08.664692 (auto),2026-06-02T08:01:08.664705
2026-05-31,07226,trim_on_rebound,price_above,macro,3.9,0.45,3.9,win,3.59,,false,2026-06-02T08:01:08.678086 (auto),2026-06-02T08:01:08.678099
2026-05-31,00100,hold_and_watch,price_below,catalyst,800,0.55,800,win,5.0,,true,2026-06-01T08:01:02.273350 (auto),2026-06-01T08:01:02.359427
2026-05-31,RKLB,hold_and_watch,price_below,catalyst,130,0.55,130,win,10.37,,true,2026-06-01T08:01:02.285341 (auto),2026-06-01T08:01:02.359433
2026-05-31,CRCL,add_only_on_trigger,price_below,catalyst,95,0.45,95,win,18.95,,false,2026-06-02T08:01:08.691375 (auto),2026-06-02T08:01:08.691391
2026-05-31,ROBN,hold_and_watch,price_below,technical,22,0.5,22,win,28.41,,true,2026-06-01T08:01:02.297083 (auto),2026-06-01T08:01:02.359466
2026-05-31,MSFU,hold_and_watch,price_below,catalyst,28,0.55,28,win,18.18,,true,2026-06-01T08:01:02.309064 (auto),2026-06-01T08:01:02.359471
2026-05-31,02208,hold_and_watch,price_below,technical,12.5,0.5,12.5,win,9.68,,true,2026-06-01T08:01:02.320585 (auto),2026-06-01T08:01:02.359476
2026-05-31,07226,hold_and_watch,price_below,technical,3.5,0.5,3.5,win,7.43,,true,2026-06-01T08:01:02.332462 (auto),2026-06-01T08:01:02.359481
2026-05-31,03032,hold_and_watch,manual,macro,,0.55,4.874,loss,0.0,,true,2026-06-01T08:01:02.344343 (auto),2026-06-01T08:01:02.359486
2026-05-31,03033,hold_and_watch,manual,macro,,0.55,4.784,loss,0.0,,true,2026-06-01T08:01:02.356443 (auto),2026-06-01T08:01:02.359491
2026-05-31,PLTU,trim_on_rebound,price_above,catalyst,50,0.5,50,win,4.82,,false,2026-06-02T08:01:08.704498 (auto),2026-06-02T08:01:08.704512
2026-05-31,ROBN,cut,open,technical,,0.5,28.25,loss,-0.0,,false,2026-06-02T08:01:08.717577 (auto),2026-06-02T08:01:08.717589
2026-06-01,00100,hold_and_watch,price_below,catalyst,780,0.55,780,loss,-9.23,,true,2026-06-02T08:01:08.730792 (auto),2026-06-02T08:01:08.822580
2026-06-01,07226,hold_and_watch,price_below,technical,3.5,0.45,3.5,win,11.43,,true,2026-06-02T08:01:08.744067 (auto),2026-06-02T08:01:08.822586
2026-06-01,02208,hold_and_watch,price_below,technical,13.0,0.55,13.0,win,6.08,,true,2026-06-02T08:01:08.766628 (auto),2026-06-02T08:01:08.822591
